time,d1,d2,d3,x,y,z
2025-04-25 20:33:00,186,176,189,77.58,107.68,170.41
2025-04-25 20:33:00,265,176,313,245.79,18.57,162.08
2025-04-25 20:33:01,252,178,319,211.08,0.08,187
2025-04-25 20:33:01,252,253,319,57.65,25.65,274.85
2025-04-25 20:33:02,447,421,233,160.53,426.49,140.93
2025-04-25 20:33:03,273,293,203,7.83,200.19,227.31
2025-04-25 20:33:03,273,293,118,7.83,267.66,141.79
2025-04-25 20:33:03,235,165,222,194.17,104.97,146.64
2025-04-25 20:33:04,208,171,207,127.68,103.04,172.41
2025-04-25 20:33:04,208,232,207,10,122.66,203.71
2025-04-25 20:33:05,208,232,146,10,175.14,160.84
2025-04-25 20:33:05,115,94,146,83.54,88.68,78.63
2025-04-25 20:33:05,115,94,179,83.54,62.21,100.88
2025-04-25 20:33:05,90,94,179,55.93,53.01,91.99
2025-04-25 20:33:05,267,255,167,89.1,211.4,188.63
2025-04-25 20:33:05,267,251,167,98.53,209.83,185.67
2025-04-25 20:33:06,344,251,349,313.81,63.19,193.4
2025-04-25 20:33:07,251,209,317,151,11.82,236.69
2025-04-25 20:33:08,202,209,57,46.26,211.99,82.13
2025-04-25 20:33:08,202,209,128,46.26,175.75,144.21
2025-04-25 20:33:08,270,209,128,197,225.99,10.96
2025-04-25 20:33:09,283,263,232,110.5,166.01,241.25
2025-04-25 20:33:10,154,187,75,4.86,170.09,70.02
2025-04-25 20:33:11,386,332,347,235.05,148.59,309.4
2025-04-25 20:33:11,386,332,356,235.05,134.28,315.87
2025-04-25 20:33:12,124,129,71,53.48,142.58,22.98
2025-04-25 20:33:13,374,272,362,360.05,83.22,163.26
2025-04-25 20:33:13,324,313,163,91.95,291.48,178.61
2025-04-25 20:33:14,406,386,184,131,402.13,105.97
2025-04-25 20:33:14,208,209,284,58.01,26.26,229.32
2025-04-25 20:33:16,158,111,159,124.43,101.81,97.45
2025-04-25 20:33:18,371,298,302,281.74,181.75,219.99
2025-04-25 20:33:18,291,265,235,126.73,170.58,240.59
2025-04-25 20:33:18,291,265,178,126.73,226.75,188.59
2025-04-25 20:33:19,286,282,238,70.47,169.99,256.89
2025-04-25 20:33:19,178,172,238,70.25,52.13,188.71
2025-04-25 20:33:19,178,172,194,70.25,97.22,169.93
2025-04-25 20:33:19,210,172,194,129.98,117.14,164.27
2025-04-25 20:33:19,210,195,194,89.06,123.96,185.21
2025-04-25 20:33:20,210,195,199,89.06,119.24,188.28
2025-04-25 20:33:20,422,370,244,244.6,351.79,143.94
2025-04-25 20:33:20,355,370,244,10.94,273.9,270.34
2025-04-25 20:33:21,211,138,246,184.4,54.9,145.13
2025-04-25 20:33:21,367,305,382,249.1,56.54,303.91
2025-04-25 20:33:21,367,305,248,249.1,249.16,182.97
2025-04-25 20:33:23,208,196,238,83.2,77.84,208.96
2025-04-25 20:33:25,312,321,249,34.01,199.17,275.93
2025-04-25 20:33:25,270,198,305,218.4,40.63,201.62
2025-04-25 20:33:25,270,183,305,245.96,36.04,167.94
2025-04-25 20:33:27,425,424,302,63.79,314.37,322.69
2025-04-25 20:33:27,425,346,302,333.54,269.41,152.3
2025-04-25 20:33:28,370,346,239,137.6,282.98,246.96
2025-04-25 20:33:28,197,174,43,101.3,202.7,13.4
2025-04-25 20:33:29,227,117,264,245.17,40,65.9
2025-04-25 20:33:29,237,141,264,235.2,52.58,114.92
2025-04-25 20:33:29,371,269,350,357.5,97.92,152.99
2025-04-25 20:33:29,371,283,350,321.8,103.87,215.54
2025-04-25 20:33:30,293,283,210,86.5,206.27,233.02
2025-04-25 20:33:30,350,368,227,1.65,286.29,249.87
2025-04-25 20:33:31,259,209,158,170,195.37,128.27
2025-04-25 20:33:32,222,175,116,149.5,186.31,80.27
2025-04-25 20:33:34,224,222,105,64.22,209.07,129.16
2025-04-25 20:33:34,206,222,105,27.47,196.82,127.29
2025-04-25 20:33:35,339,345,122,41.4,351.97,102.79
2025-04-25 20:33:35,64,102,133,24.22,82.35,38.31
2025-04-25 20:33:35,64,102,157,24.22,64.85,63.59
2025-04-25 20:33:35,355,315,157,181.67,329.01,83.53
2025-04-25 20:33:36,355,315,282,181.67,199.06,274.95
2025-04-25 20:33:36,431,373,322,268.8,263.15,266.49
